
央视综合,#genre#

CCTV1	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2      ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7	,http://cyz32.livehbindex.hbcatv.cn/live/500000204daa45af99b5800a528fac21.m3u8?bitrate=2300&pt=5
CCTV7	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11    ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13    ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14	,http://cyz32.livehbindex.hbcatv.cn/live/8a22035194884b1eb5515aac434c313c.m3u8?bitrate=2300&pt=5
CCTV14	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15    ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8



卫视综合,#genre#

安多卫视	,http://stream.qhbtv.com/adws/sd/live.m3u8
安多卫视	,http://stream.qhbtv.com/adws/playlist.m3u8
安多卫视	,http://stream.qhbtv.com/adws/playlist.m3u8?_upt=739abf201649062902
安徽卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视	,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8
北京卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视	,http://39.134.65.179/PLTV/88888888/224/3221225678/1.m3u8
北京卫视	,http://39.134.65.164/PLTV/88888888/224/3221225678/1.m3u8
北京卫视	,http://39.134.65.166/PLTV/88888888/224/3221225678/1.m3u8
北京卫视	,http://39.134.65.173/PLTV/88888888/224/3221225678/1.m3u8
东方卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视	,http://39.134.65.164/PLTV/88888888/224/3221225672/1.m3u8
东方卫视	,http://39.134.65.179/PLTV/88888888/224/3221225672/1.m3u8
东方卫视	,http://39.134.65.173/PLTV/88888888/224/3221225672/1.m3u8
东方卫视	,http://39.134.65.175/PLTV/88888888/224/3221225672/1.m3u8
东南卫视	,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
东南卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
广东卫视	,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
广东卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视	,http://39.134.67.108/PLTV/88888888/224/3221226024/1.m3u8
贵州卫视	,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
贵州卫视	,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8
海南卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
海南卫视	,http://39.134.67.108/PLTV/88888888/224/3221226026/1.m3u8
河北卫视	,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8
河北卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视	,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8
湖北卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖北卫视	,http://39.134.65.164/PLTV/88888888/224/3221225569/1.m3u8
湖北卫视	,http://39.134.65.162/PLTV/88888888/224/3221225569/1.m3u8
湖南卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
湖南卫视	,http://39.134.65.181/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视	,http://39.134.65.173/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视	,http://39.134.65.166/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视	,http://39.134.65.183/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视	,http://39.134.65.175/PLTV/88888888/224/3221225506/1.m3u8
吉林｜延边卫视	,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8?zjild
吉林｜延边卫视	,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8?zjild
吉林卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
吉林卫视	,http://39.134.65.149/PLTV/88888888/224/3221225981/1.m3u8
吉林卫视	,http://39.134.67.108/PLTV/88888888/224/3221226013/1.m3u8
江苏卫视	,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8
江苏卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江苏卫视	,http://39.134.65.183/PLTV/88888888/224/3221225503/1.m3u8
江苏卫视	,http://39.134.65.173/PLTV/88888888/224/3221225503/1.m3u8
江西卫视	,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8
江西卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
内蒙古卫视	,http://39.134.67.108/PLTV/88888888/224/3221226017/1.m3u8
宁夏卫视	,http://39.134.67.108/PLTV/88888888/224/3221226028/1.m3u8
青海卫视	,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视	,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
青海卫视	,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
青海卫视	,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
山东卫视	,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
山东卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东卫视	,http://39.134.65.141/PLTV/88888888/224/3221225952/1.m3u8
山西卫视	,http://39.134.67.108/PLTV/88888888/224/3221226009/1.m3u8
深圳卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
四川卫视	,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8
四川卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视	,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8
天津卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
天津卫视	,http://39.134.65.166/PLTV/88888888/224/3221225665/1.m3u8
西藏卫视	,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8
新疆卫视	,http://39.134.67.108/PLTV/88888888/224/3221225999/1.m3u8
延边卫视	,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
延边卫视	,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
延边卫视	,http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8
浙江卫视	,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8
浙江卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
浙江卫视	,http://39.134.65.162/PLTV/88888888/224/3221225514/1.m3u8
浙江卫视	,http://39.134.65.175/PLTV/88888888/224/3221225514/1.m3u8
浙江卫视	,http://39.134.65.179/PLTV/88888888/224/3221225514/1.m3u8
浙江卫视	,http://39.134.65.173/PLTV/88888888/224/3221225514/1.m3u8
重庆卫视	,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8
重庆卫视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8


河北综合,#genre#

河北｜邯郸公共	,https://jwliveqxzb.hebyun.com.cn/hdgg/hdgg.m3u8
河北｜邯郸科教	,https://jwliveqxzb.hebyun.com.cn/hdkj/hdkj.m3u8?zhebd
河北｜邯郸科教	,https://jwliveqxzb.hebyun.com.cn/hdkj/hdkj.m3u8
河北｜邯郸新闻	,https://jwliveqxzb.hebyun.com.cn/hdxwzh/hdxwzh.m3u8
河北｜荆门教育	,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
河北｜荆门新闻	,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
河北｜鹿泉一套	,https://jwliveqxzb.hebyun.com.cn/luquanyi/luquanyi.m3u8
河北｜鹿泉一套	,https://jwliveqxzb.hebyun.com.cn/luquanyi/luquanyi.m3u8?zhebd
河北｜平泉影视	,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
河北｜平泉综合	,https://jwliveqxzb.hebyun.com.cn/pqzh/pqzh.m3u8
河北｜武汉教育	,http://stream.appwuhan.com/jyzb/sd/live.m3u8
河北｜武汉生活	,http://stream.appwuhan.com/3tzb/sd/live.m3u8


地方综合,#genre#

安徽｜公共	,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829349154529.m3u8
安徽｜国际	,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829422933950.m3u8
安徽｜经济生活	,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829325295495.m3u8
安徽｜农业科教	,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829358013848.m3u8
安徽｜宿州公共	,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8?zanhd
安徽｜宿州公共	,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8
安徽｜宿州科教	,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8
安徽｜宿州新闻综合	,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
安徽｜影视	,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829369249612.m3u8
安徽｜综艺体育	,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829415240627.m3u8
北京｜房山电视台	,http://live.funhillrm.com/2/sd/live.m3u8?zbeid
北京｜石景山有线	,http://live.sjsrm.com/bjsjs/sd/live.m3u8?zbeid
福建｜云霄综合	,http://live.zzyxxw.com:85/live/xwzh.m3u8
福建｜云霄综合	,http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian
福建｜漳州新闻	,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8
福建｜漳州新闻	,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8?zfud
广西｜贺州	,http://zhz.gxhzxw.com:2935/live/HZXW-HD/chunklist.m3u8
广西｜贺州	,http://zhz.gxhzxw.com:2935/live/HZXW-HD/playlist.m3u8
广西｜罗城综合	,http://111.12.75.177:9100/lctvlive/lch.m3u8
广西｜罗城综合	,http://111.12.75.177:9100/lctvlive/lch.m3u8?zguangxd
哈尔滨生活	,http://stream.hrbtv.net/shpd/sd/live.m3u8?zheild
哈尔滨新闻综合	,http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
哈尔滨影	,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
哈尔滨娱乐	,http://stream.hrbtv.net/ylpd/sd/live.m3u8?zheild
河南｜宝丰综合频道	,http://tvpull.dxhmt.cn:9081/tv/10421-1.m3u8?zhend
河南｜登封综合	,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8
河南｜方城一套	,http://tvpull.dxhmt.cn:9081/tv/11322-1.m3u8?zhend
河南｜扶沟综合	,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8
河南｜扶沟综合	,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8?zhend
河南｜巩义新闻综合	,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8?zhend
河南｜固始综合	,http://tvpull.dxhmt.cn:9081/tv/11525-1.m3u8
河南｜光山综合	,http://tvpull.dxhmt.cn:9081/tv/11522-1.m3u8
河南｜滑县新闻	,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8?zhend
河南｜潢川综合	,http://tvpull.dxhmt.cn:9081/tv/11526-1.m3u8
河南｜济源电视一套	,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8?zhend
河南｜郏县综合	,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8?zhend
河南｜焦作公共	,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
河南｜焦作公共	,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8?zhend
河南｜焦作综合	,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
河南｜焦作综合	,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8?zhend
河南｜兰考新闻	,http://tvpull.dxhmt.cn:9081/tv/10225-1.m3u8
河南｜临颍综合	,http://tvpull.dxhmt.cn:9081/tv/11122-1.m3u8
河南｜灵宝新闻综合	,http://tvpull.dxhmt.cn:9081/tv/11282-1.m3u8?zhend
河南｜鹿邑新闻频道	,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8?zhend
河南｜泌阳新闻综合	,http://tvpull.dxhmt.cn:9081/tv/11726-1.m3u8
河南｜内黄综合频道	,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8?zhend
河南｜嵩县综合新闻	,http://tvpull.dxhmt.cn:9081/tv/10325-1.m3u8?zhend
河南｜唐河一套	,http://tvpull.dxhmt.cn:9081/tv/11328-1.m3u8
河南｜唐河一套	,http://tvpull.dxhmt.cn:9081/tv/11328-1.m3u8?zhend
河南｜温县综合	,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8?zhend
河南｜西华综合	,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8?zhend
河南｜项城新闻	,http://tvpull.dxhmt.cn:9081/tv/11681-1.m3u8
河南｜新安新闻综合	,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8?zhend
河南｜新蔡综合	,http://tvpull.dxhmt.cn:9081/tv/11729-1.m3u8
河南｜新县综合	,http://tvpull.dxhmt.cn:9081/tv/11523-1.m3u8
河南｜新乡县电视台	,http://tvpull.dxhmt.cn:9081/tv/10721-1.m3u8
河南｜新乡县电视台	,http://tvpull.dxhmt.cn:9081/tv/10721-1.m3u8?zhend
河南｜新野综合	,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8?zhend
河南｜荥阳综合	,http://tvpull.dxhmt.cn:9081/tv/10182-1.m3u8?zhend
河南｜鄢陵综合	,http://tvpull.dxhmt.cn:9081/tv/11024-1.m3u8
河南｜叶县	,http://tvpull.dxhmt.cn:9081/tv/10422-1.m3u8
河南｜叶县	,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
河南｜宜阳综合频道	,http://tvpull.dxhmt.cn:9081/tv/10327-1.m3u8?zhend
河南｜义马新闻综合	,http://tvpull.dxhmt.cn:9081/tv/11281-1.m3u8
河南｜禹州综合	,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8
河南｜禹州综合	,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8?zhend
黑龙江｜都市	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江｜科教	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江｜少儿	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
黑龙江｜文体	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江｜新闻	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江｜影视	,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
湖北｜崇阳综合	,http://61.184.176.248:10500/live/live.m3u8
湖北｜荆门新闻综合	,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd
湖北｜十堰新闻	,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
湖北｜武汉经济	,http://stream.appwuhan.com/4tzb/sd/live.m3u8
湖北｜武汉新闻	,http://stream.appwuhan.com/1tzb/sd/live.m3u8
吉林｜德惠综合	,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8?zjild
吉林｜珲春新闻综合	,http://stream8.jlntv.cn/hctv/sd/live.m3u8?zjild
吉林｜靖宇综合	,http://stream8.jlntv.cn/jytv/sd/live.m3u8?zjild
吉林｜龙井综合	,http://stream8.jlntv.cn/ljtv/sd/live.m3u8
吉林｜龙井综合	,http://stream8.jlntv.cn/ljtv/sd/live.m3u8?zjild
吉林｜通化县综合	,http://stream5.jlntv.cn/thx/sd/live.m3u8
吉林｜通化县综合	,http://stream5.jlntv.cn/thx/sd/live.m3u8?zjild
吉林｜汪清综合	,http://stream5.jlntv.cn/wq/sd/live.m3u8?zjild
吉林｜延边-1	,http://live.ybtvyun.com/video/s10016-af95004b6d1a/index.m3u8?zjild
吉林｜延边-2	,http://live.ybtvyun.com/video/s10006-04819ee234a7/index.m3u8?zjild
吉林｜延边朝鲜语综合	,http://live.ybtvyun.com/video/s10006-b571c289a478/index.m3u8?zjild
吉林｜延边朝鲜语综合	,http://live.ybtvyun.com/video/s10016-19a16c47eb99/index.m3u8?zjild
江苏｜常熟民生经济	,http://cstvplay.21cs.cn/cstv2/cstv2.m3u8
江苏｜常熟综合	,http://cstvplay.21cs.cn/cstv1/cstv1.m3u8
江苏｜江阴新闻综合	,http://221.228.70.101:8080/live/xinwen.m3u8
江苏｜靖江新闻综合	,http://58.222.151.43:1935/live/xwzhpc/playlist.m3u8
江苏｜靖江新闻综合	,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8
江苏｜如东新闻	,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
江苏｜无锡都市资讯	,http://stream.thmz.com/wxtv3/playlist.m3u8
江苏｜无锡都市资讯	,http://stream.thmz.com/wxtv3/sd/live.m3u8
江苏｜无锡经济	,http://stream.thmz.com/wxtv5/playlist.m3u8
江苏｜无锡经济	,http://stream.thmz.com/wxtv5/sd/live.m3u8
江苏｜无锡生活	,http://stream.thmz.com/wxtv4/playlist.m3u8
江苏｜无锡生活	,http://stream.thmz.com/wxtv4/sd/live.m3u8
江苏｜无锡新闻综合	,http://stream.thmz.com/wxtv1/playlist.m3u8
江苏｜无锡新闻综合	,http://stream.thmz.com/wxtv1/sd/live.m3u8
江苏｜无锡娱乐	,http://stream.thmz.com/wxtv2/playlist.m3u8
江苏｜无锡娱乐	,http://stream.thmz.com/wxtv2/sd/live.m3u8
内蒙古｜可克达拉综合	,http://test5.btzx.com.cn/live/kkdl.stream/playlist.m3u8
宁夏｜吴忠公共	,http://live.kanwz.net/ggpd/sd/live.m3u8?zningxd
宁夏｜吴忠综合	,http://live.kanwz.net/zhpd/sd/live.m3u8?zningxd
青海｜大通电视台	,http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8
青海｜都市	,http://stream.qhbtv.com/qhds/playlist.m3u8
青海｜都市	,http://stream.qhbtv.com/qhds/sd/live.m3u8
青海｜化隆综合	,http://livecdn.dmqhyadmin.com/hls/xjhualong.m3u8
青海｜湟中电视台	,http://livecdn.dmqhyadmin.com/hls/xjhuangzhong.m3u8
青海｜经视	,http://stream.qhbtv.com/qhsh/playlist.m3u8
青海｜经视	,http://stream.qhbtv.com/qhsh/sd/live.m3u8
青海｜经视	,http://stream.qhbtv.com/qhsh/sd/live.m3u8?_upt=a7ec5e491648026933
